"","ORISPL","Facility","Net Power Output 2018 (GWh)","Primary Fuel Category","Announced Retirment Year","Weighted Sum Model Score (Prioritization Rank)","Emissions Health Costs (Millions) [Percentile]","Hazardous Air Pollutant Hazard (Billions) [Percentile]","Carbon Dioxide Emissions (Megatons) [Percentile]","Vulnerable Population within 5km (total) [Percentile]","Vulnerable Population within 10km (total) [Percentile]","Vulnerable Population within 50km (total) [Percentile]"
"1","2493","East River, New York, NY",2234.1,"Gas",NA,"325.6 (1)","$131.3 [97]","2.5 [37]","2.13 [93]","447,625 [99]","1,986,474 [100]","7,277,331 [100]"
"2","55088","Dearborn Industrial Generation, Wayne, MI",1274.5,"Gas",NA,"322.4 (2)","$41.9 [93]","18.5 [45]","2.45 [93]","75,380 [93]","249,432 [93]","1,403,968 [87]"
"3","55375","Astoria Energy, Queens, NY",4010.3,"Gas",NA,"321 (3)","$266.4 [99]","0.6 [29]","2.85 [94]","595,805 [99]","2,284,492 [100]","7,222,452 [99]"
"4","883","Waukegan, Lake, IL",1637.2,"Coal",NA,"316.7 (4)","$87.2 [95]","17.9 [45]","1.96 [92]","44,078 [88]","100,760 [84]","941,708 [82]"
"5","2398","Bergen Generating Station, Bergen, NJ",2569.2,"Gas",NA,"316.4 (5)","$369.8 [99]","0.5 [28]","1.82 [92]","105,021 [95]","1,168,726 [98]","7,206,732 [99]"
"6","1588","Mystic, Middlesex, MA",140.8,"Gas","2022","312.2 (6)","$27.8 [91]","1.9 [35]","2.13 [93]","169,503 [97]","407,354 [96]","1,144,582 [85]"
"7","2406","Linden Generating Station, Union, NJ",3306.2,"Gas",NA,"312.1 (7)","$185 [98]","0.3 [25]","2.29 [93]","95,965 [95]","318,388 [95]","7,039,332 [98]"
"8","1403","Ninemile Point, Jefferson, LA",4941.2,"Gas","2033","309.5 (8)","$36.8 [92]","3.4 [38]","4.54 [96]","48,654 [89]","190,537 [91]","484,177 [72]"
"9","1740","River Rouge, Wayne, MI",785.6,"Coal","2022","308.4 (9)","$85.6 [95]","3.5 [38]","0.9 [88]","39,143 [86]","150,794 [89]","1,359,398 [87]"
"10","564","Curtis H. Stanton Energy Center, Orange, FL",4610.8,"Coal",NA,"308 (10)","$126.4 [96]","40.6 [48]","5.46 [96]","2,530 [44]","52,121 [75]","1,062,683 [84]"
"11","2511","E F Barrett, Nassau, NY",21.1,"Gas",NA,"306 (11)","$59.2 [94]","1.4 [34]","1 [89]","26,058 [80]","197,011 [91]","6,444,481 [98]"
"12","2291","North Omaha Station, Douglas, NE",1757.5,"Coal",NA,"305.6 (12)","$165.5 [97]","11.4 [43]","2.08 [93]","23,590 [79]","85,887 [81]","233,923 [58]"
"13","676","C D McIntosh Jr Power Plant, Polk, FL",1615.6,"Coal","2021","304.9 (13)","$48.1 [93]","6.7 [41]","2.75 [94]","21,371 [78]","67,459 [78]","639,003 [76]"
"14","613","Lauderdale, Broward, FL",1843.5,"Gas",NA,"303.2 (14)","$15.5 [88]","0.9 [32]","1.51 [91]","55,862 [90]","302,692 [94]","2,459,494 [93]"
"15","1733","Monroe, Monroe, MI",16457.6,"Coal",NA,"303.2 (15)","$230.7 [98]","38.6 [48]","17.93 [100]","3,474 [50]","12,032 [51]","461,836 [71]"
"16","6181","J T Deely, Bexar, TX",4596.6,"Coal","2024","301.5 (16)","$216.5 [98]","37.7 [47]","5.96 [97]","1,810 [38]","15,301 [55]","1,139,030 [84]"
"17","469","Cherokee, Adams, CO",2785.4,"Gas","2027","300.6 (17)","$7 [82]","4.9 [39]","1.91 [92]","46,006 [88]","210,572 [92]","924,940 [82]"
"18","56964","Bayonne Energy Center, Hudson, NJ",772.1,"Gas",NA,"299.9 (18)","$93.8 [95]","0.3 [24]","0.43 [84]","96,333 [95]","637,054 [98]","7,211,018 [99]"
"19","593","Edge Moor, New Castle, DE",313,"Oil",NA,"298.8 (19)","$15.6 [88]","23.4 [46]","0.24 [80]","38,066 [86]","91,718 [82]","1,592,254 [88]"
"20","884","Will County, Will, IL",1003.8,"Coal","2024","298.7 (20)","$61.9 [94]","1.8 [35]","1.25 [90]","10,313 [67]","69,558 [78]","2,798,995 [94]"
"21","400","Haynes Generating Station, Los Angeles, CA",2078.1,"Gas",NA,"298.7 (21)","$10.4 [85]","0.9 [32]","1.35 [90]","33,231 [84]","291,024 [94]","5,967,967 [97]"
"22","55259","Whiting Clean Energy, Inc., Lake, IN",1832.7,"Gas",NA,"297 (22)","$23.2 [91]","0.7 [30]","1.35 [90]","23,008 [78]","128,270 [87]","2,526,613 [94]"
"23","56068","Elm Road Generating Station, Milwaukee, WI",7913.7,"Coal",NA,"296.4 (23)","$76.7 [95]","34.7 [47]","8.71 [98]","1,731 [37]","16,999 [57]","604,017 [76]"
"24","641","Crist Electric Generating Plant, Escambia, FL",3257.5,"Coal",NA,"295.8 (24)","$34.8 [92]","44 [48]","3.46 [95]","6,895 [61]","36,490 [70]","165,196 [51]"
"25","55464","Deer Park Energy Center, Harris, TX",4641.7,"Gas",NA,"294.9 (25)","$9.1 [84]","0.5 [27]","4.27 [96]","28,622 [81]","150,105 [89]","2,429,310 [93]"
"26","50965","Toledo Ref Power Recovery Train, Lucas, OH",10.2,"Oil",NA,"294.8 (26)","$242.3 [99]","1.4 [34]","0.88 [88]","31,041 [83]","97,104 [83]","226,073 [57]"
"27","1082","Walter Scott Jr. Energy Center, Pottawattamie, IA",10039.9,"Coal",NA,"294.7 (27)","$263.1 [99]","19.7 [45]","10.66 [99]","1,108 [29]","34,031 [68]","227,399 [57]"
"28","1364","Mill Creek, Jefferson, KY",8639.8,"Coal",NA,"294.2 (28)","$572.6 [100]","13.1 [44]","9.25 [99]","2,272 [42]","10,827 [50]","350,517 [65]"
"29","1595","Kendall Green Energy LLC, Middlesex, MA",130,"Gas",NA,"293.8 (29)","$12.2 [86]","0.5 [28]","0.68 [87]","196,498 [98]","473,570 [97]","1,150,287 [85]"
"30","10883","Medical Area Total Energy Plant, Suffolk, MA",268.3,"Gas",NA,"293.6 (30)","$31.4 [92]","0.3 [25]","0.46 [84]","211,373 [98]","463,781 [97]","1,178,369 [85]"
"31","6170","Pleasant Prairie, Kenosha, WI",1773.8,"Coal",NA,"293.4 (31)","$25.4 [91]","7.3 [41]","2.29 [93]","6,454 [60]","42,874 [72]","478,945 [71]"
"32","1391","Louisiana 1, East Baton Rouge, LA",2818.9,"Other",NA,"293.2 (32)","$16.8 [88]","1.7 [35]","2.22 [93]","35,483 [85]","101,944 [84]","303,493 [62]"
"33","4041","South Oak Creek, Milwaukee, WI",4767.2,"Coal",NA,"293.1 (33)","$45.5 [93]","34.7 [47]","5.61 [96]","1,885 [39]","16,914 [56]","603,745 [76]"
"34","50628","Paulsboro Refinery, Gloucester, NJ",283.8,"Gas",NA,"293.1 (34)","$39.6 [92]","3 [38]","0.87 [88]","3,838 [52]","96,697 [83]","1,875,455 [91]"
"35","3797","Chesterfield Power Station, Chesterfield, VA",1903.8,"Coal","2023","292.4 (35)","$48.5 [93]","9.8 [42]","3.44 [95]","3,715 [51]","31,254 [67]","420,751 [68]"
"36","6064","Nearman Creek, Wyandotte, KS",4.7,"Gas",NA,"292.2 (36)","$60.9 [94]","1.4 [34]","1.18 [90]","13,529 [71]","72,453 [79]","536,600 [74]"
"37","8226","Cheswick, Allegheny, PA",1204.9,"Coal",NA,"292 (37)","$112.6 [96]","6.6 [41]","1.42 [90]","7,482 [62]","28,946 [66]","420,535 [68]"
"38","2516","Northport, Suffolk, NY",2343.6,"Oil",NA,"292 (38)","$93.1 [95]","3 [38]","1.79 [92]","2,834 [46]","22,044 [61]","3,207,474 [95]"
"39","1831","Eckert Station, Ingham, MI",384.1,"Coal","2021","291.9 (39)","$46.4 [93]","6.4 [40]","0.56 [85]","45,628 [88]","93,056 [83]","161,226 [51]"
"40","2727","Marshall, Catawba, NC",8486.3,"Coal",NA,"291 (40)","$149.6 [97]","74.4 [49]","8.7 [98]","612 [20]","6,262 [42]","614,123 [76]"
"41","55270","Jackson Generating Station, Jackson, MI",1658.2,"Gas",NA,"291 (41)","$236 [98]","11.5 [43]","0.99 [89]","17,192 [74]","28,318 [65]","115,104 [42]"
"42","3804","Possum Point Power Station, Prince William, VA",3721.2,"Gas",NA,"290.9 (42)","$20.8 [90]","2.2 [36]","1.65 [91]","10,969 [68]","35,692 [69]","1,251,970 [86]"
"43","2832","Miami Fort Power Station, Hamilton, OH",5409,"Coal","2027","289.4 (43)","$334.4 [99]","30.5 [47]","5.45 [96]","1,157 [30]","6,148 [42]","452,977 [70]"
"44","3393","Allen, Shelby, TN",392.2,"Coal",NA,"288.5 (44)","$22.7 [90]","64.3 [49]","1.78 [92]","765 [23]","45,039 [73]","585,243 [75]"
"45","2952","Muskogee, Muskogee, OK",3857.3,"Coal",NA,"288.5 (45)","$201.6 [98]","26.6 [46]","4.63 [96]","4,143 [53]","17,917 [58]","83,727 [34]"
"46","315","AES Alamitos, Los Angeles, CA",958.3,"Gas","2023","288.3 (46)","$12.9 [87]","0.2 [22]","0.76 [87]","35,303 [85]","295,624 [94]","5,979,212 [97]"
"47","55480","Forney Power Plant, Kaufman, TX",6335.2,"Gas",NA,"288.2 (47)","$20.4 [90]","0.6 [29]","4.52 [96]","7,834 [63]","33,977 [68]","1,732,128 [89]"
"48","404","Scattergood Generating Station, Los Angeles, CA",1243,"Gas",NA,"288.1 (48)","$10.4 [85]","0.5 [28]","0.79 [87]","13,790 [71]","284,050 [94]","5,607,479 [96]"
"49","2718","G G Allen, Gaston, NC",819.8,"Coal","2024","288.1 (49)","$20.1 [90]","11.4 [43]","0.96 [88]","3,735 [51]","40,238 [71]","739,272 [79]"
